Clt,Dor.,Cognoms i nom,sexo,Inter 1,Temps,Écart
45,579,MUMBRU Enric,,04:08:19,05:56:23,+2:25:41.484
46,771,ARJANT Tomàs,,03:51:41,05:56:27,+2:25:46.197
47,835,ALIBERCH Xavier,,04:09:28,05:57:00,+2:26:19.139
48,132,GALLIFA Jordi,,04:09:40,05:57:01,+2:26:19.727
49,40,PEDRÓ Vanessa,,04:23:51,05:57:16,+2:26:35.045
50,192,MANSO Carles,,04:08:42,05:58:43,+2:28:01.456
51,837,BAENA Guillem,,04:09:17,06:00:14,+2:29:33.071
52,384,ROCA Marc,,04:09:23,06:00:22,+2:29:41.043
53,385,BOLEDA Martí,,04:09:24,06:00:23,+2:29:42.078
54,516,MARIN Toni,,03:58:51,06:01:13,+2:30:31.389
55,935,CANAMASAS Jordi,,03:50:12,06:02:32,+2:31:50.871
56,915,VAZQUEZ Manel,,04:04:07,06:03:08,+2:32:26.287
57,707,MUÑIZ Cèsar,,04:25:02,06:03:29,+2:32:47.953
58,267,GALLART Marta,,04:16:36,06:07:56,+2:37:14.912
59,1057,OCHOA Marcel,,04:16:41,06:10:11,+2:39:29.961
60,419,SAGET Francesc,,04:10:46,06:11:56,+2:41:14.475
61,418,COMBIS Xavier,,04:10:59,06:12:02,+2:41:20.376
62,230,BRACHS Lluis,,04:10:26,06:12:11,+2:41:29.317
63,262,VILAR David,,04:10:25,06:12:45,+2:42:04.220
64,628,BLASCO Manel,,04:12:10,06:12:49,+2:42:07.790
65,64,MAYANS Josep Maria,,04:22:40,06:14:06,+2:43:24.810
66,484,AUSIÓ Alba,,04:22:42,06:14:09,+2:43:27.543
67,1004,SERRA GALLIFA Anna,,04:09:10,06:14:54,+2:44:12.313
68,1003,ERRA BARCONS Laura,,04:09:11,06:14:55,+2:44:13.524
69,908,BOSCH Ferran,,04:21:24,06:16:21,+2:45:39.430
70,263,ARENAS Francisco,,04:14:25,06:16:22,+2:45:41.064
71,265,AGUILERA Eduard,,04:17:24,06:16:36,+2:45:54.291
72,266,PAGESPETIT Eva,,04:17:40,06:16:51,+2:46:09.882
73,454,VILA Cristina,,04:36:38,06:17:06,+2:46:24.590
74,1009,BRICHFEUS GARCIA Nuria,,04:21:37,06:18:07,+2:47:26.151
75,865,PÉREZ Toni,,03:49:50,06:18:23,+2:47:41.314
76,1008,MARTINEZ Alex,,04:22:14,06:18:38,+2:47:57.232
77,938,CAPDEVILA Xavier,,04:19:43,06:19:17,+2:48:35.820
78,869,ALFONSO Gemma,,04:19:50,06:19:22,+2:48:40.337
79,41,ROVIRA Carles,,04:25:36,06:20:53,+2:50:12.205
80,489,PUJOL Joel,,04:25:38,06:23:36,+2:52:54.549
81,547,FLORIDO Diego,,04:18:07,06:26:28,+2:55:47.068
82,546,CAMPILLO Maribel,,04:17:55,06:26:29,+2:55:47.260
83,621,SAMUEL Pierre,,05:01:15,06:29:00,+2:58:19.100
84,222,VILAMALA Mireia,,04:39:38,06:30:47,+3:00:05.952
85,746,LLADÓ Gilbert,,04:39:39,06:31:10,+3:00:28.982
86,745,SANCUEZ Elena,,04:39:41,06:31:11,+3:00:29.724
87,406,PARÉS Mercè,,04:29:37,06:31:18,+3:00:36.329
88,405,SELLES Eva,,04:29:40,06:31:20,+3:00:39.044
89,563,PRAT Vicenç,,04:29:58,06:32:25,+3:01:43.278
90,992,SALCEDA Antonio German,,04:32:22,06:33:49,+3:03:07.743
91,645,MOLIST Jaume,,05:37:40,06:34:01,+3:03:20.172
92,1006,SANCHEZ CORDON Jeorgina,,04:36:36,06:34:50,+3:04:08.649
93,968,SOLER Xevi,,04:33:12,06:37:21,+3:06:39.834
94,966,PERIS Aleix,,04:33:12,06:37:22,+3:06:40.468
95,957,SANCHEZ Guillem,,,06:37:23,+3:06:41.578
96,956,VERDÉS Bernat,,04:33:12,06:37:27,+3:06:45.401
97,683,SAURA Sílvia,,04:31:56,06:37:51,+3:07:09.756
98,698,MIQUEL Molist,,04:33:41,06:41:02,+3:10:20.927
99,748,MOLIST Toni,,04:33:35,06:41:05,+3:10:23.510
100,673,CASAS Oriol,,04:33:34,06:41:06,+3:10:24.550
101,676,FREIXAS Manel,,04:41:35,06:43:26,+3:12:45.118
102,544,SALIP Jordi,,04:26:39,06:43:28,+3:12:46.933
103,235,ROSELL Lluís,,04:55:58,06:43:52,+3:13:10.268
104,237,CRUZ Juan,,04:55:59,06:43:53,+3:13:11.875
105,808,DULCET Josep,,04:20:44,06:44:04,+3:13:22.247
106,535,HORTAL Aleix,,04:47:29,06:44:06,+3:13:24.432
107,483,ADILLON Jordi,,04:42:17,06:44:07,+3:13:26.075
108,605,TORDERA Gerard,,,06:44:07,+3:13:26.155
109,236,MARTÍN Eduardo,,04:56:22,06:44:10,+3:13:28.628
110,71,ARQUES Jordi,,04:30:12,06:44:16,+3:13:34.676
111,964,JANÉ Emili,,04:56:45,06:44:21,+3:13:39.354
112,165,CARALT Oriol,,04:40:08,06:45:17,+3:14:36.164
113,164,CARALT Albert,,04:40:15,06:45:19,+3:14:38.023
114,166,MOLAS Alba,,04:40:06,06:45:20,+3:14:38.757
115,802,MARTÍNEZ Jose,,04:44:04,06:45:39,+3:14:57.859
116,803,PUIGVENTÓS Núria,,04:44:07,06:45:39,+3:14:57.915
117,911,ALEGRE Víctor,,04:45:37,06:46:14,+3:15:33.242
118,909,PALLEROLS Mercè,,04:45:39,06:46:15,+3:15:33.603
119,499,PUJOL Dani,,04:12:54,06:46:19,+3:15:37.995
120,341,TOMAS Eduard,,04:30:14,06:47:06,+3:16:24.289
121,674,SALIP David,,04:30:25,06:47:07,+3:16:25.273
122,634,PARÉS Meritxell,,04:41:26,06:47:21,+3:16:39.750
123,652,SUDRIÀ Dolors,,04:41:18,06:47:21,+3:16:40.027
124,774,GULTRESA Josep,,04:41:19,06:47:21,+3:16:40.235
125,653,SUDRIÀ Antoni,,04:41:12,06:47:22,+3:16:40.728
126,436,JOVER Oriol,,04:40:03,06:47:57,+3:17:15.533
127,610,CODINAS Jordi,,04:40:08,06:47:59,+3:17:17.327
128,281,ARIMANY Sergi,,04:28:50,06:59:03,+3:28:21.856
129,787,PUIG Alba,,04:26:17,07:04:02,+3:33:21.091
130,304,PULIDO Vicenç,,05:02:14,07:04:08,+3:33:26.294
131,822,TOMEO José Antonio,,04:21:52,07:04:11,+3:33:30.116
132,847,PERELLO Francesc,,04:21:56,07:04:16,+3:33:34.394
133,510,ALCUBIERRE Judit,,04:53:10,07:04:39,+3:33:58.170
134,637,MARCÉ Judit,,04:53:16,07:04:40,+3:33:58.442
135,494,COMA Maria,,04:53:10,07:04:44,+3:34:02.494
136,99,GUIX Lambert,,04:59:21,07:04:48,+3:34:06.291
137,397,VILÀ Rosa,,05:00:54,07:05:19,+3:34:37.423
138,127,CIVIT Xavier,,04:46:12,07:05:59,+3:35:17.378
139,556,CANTIZANO Joan,,04:47:12,07:06:23,+3:35:41.466
140,557,PÉREZ Rafael,,04:47:14,07:06:24,+3:35:42.269
141,151,URPINA Clara,,04:53:12,07:07:44,+3:37:02.484
142,313,FREIXANET Mireia,,04:57:49,07:11:21,+3:40:40.225
143,314,OBAMA Mel,,04:57:44,07:11:22,+3:40:40.400
144,593,SIRISI Josep,,04:44:15,07:12:17,+3:41:36.000
145,114,MUSTERNI Miquel,,04:56:41,07:12:43,+3:42:01.647
146,1055,GASTON Marc,,04:44:55,07:14:21,+3:43:40.019
147,981,CROSAS Elisabet,,04:45:07,07:14:30,+3:43:48.814
148,310,PUIGCORBER Joan,,04:48:22,07:14:57,+3:44:16.215
149,497,MARTÍ Alba,,04:34:07,07:15:09,+3:44:27.346
150,505,MARTI Laura,,04:34:01,07:15:09,+3:44:27.532
151,452,BERTRANS Xavier,,04:51:26,07:15:20,+3:44:38.830
152,311,PUIGCORBER Paula,,04:49:11,07:15:46,+3:45:04.686
153,109,ORDEIX I Clara,,04:55:14,07:16:04,+3:45:22.682
154,108,PARÉS Pol,,04:55:05,07:16:04,+3:45:22.861
155,223,SUÑEN Marc,,04:55:07,07:16:04,+3:45:23.228
156,107,ORDEIX Aniol,,04:55:16,07:16:08,+3:45:27.183
157,996,ASSKALI Mohamed,,04:49:26,07:16:37,+3:45:55.935
158,538,DE SANTIAGO Lluís,,04:53:34,07:17:52,+3:47:11.240
159,936,CASAS Jordi,,04:58:54,07:18:13,+3:47:31.472
160,630,VERDAGUER Jordi,,04:59:31,07:19:03,+3:48:21.465
161,324,TANA Joan,,04:45:14,07:21:14,+3:50:32.686
162,576,BOSCH Nuria,,05:04:17,07:23:41,+3:52:59.771
163,828,RAMOS Francisco,,05:03:41,07:24:00,+3:53:18.556
164,312,PUIGCORBER Pol,,04:57:42,07:24:18,+3:53:36.499
165,765,VICENTE Montse,,05:13:37,07:25:37,+3:54:55.948
166,1000,TORROELLA PUIG Marta,,05:05:30,07:28:13,+3:57:31.826
167,389,GURT Mercè,,05:00:53,07:31:36,+4:00:54.585
168,388,LOPEZ David,,05:01:15,07:31:50,+4:01:08.653
169,631,VALLS Tere,,04:59:42,07:31:50,+4:01:09.211
170,467,VILARDEBO Sergi,,04:35:58,07:33:11,+4:02:29.970
171,999,SALA Marc,,05:14:01,07:33:46,+4:03:04.787
172,609,CARRERA  Isabel,,05:15:57,07:35:27,+4:04:46.026
173,608,ILLAMOLA  Xavier,,05:15:59,07:35:27,+4:04:46.082
174,53,BOLADERAS Judit,,05:13:31,07:36:02,+4:05:20.419
175,343,LLINARES Veronica,,05:17:57,07:37:08,+4:06:26.659
176,342,GORDILLO Fernando,,05:17:58,07:37:10,+4:06:28.896
177,965,SALA Abel,,05:17:14,07:37:11,+4:06:29.775
178,331,ROMAN Ramon,,05:37:16,07:37:13,+4:06:31.420
179,675,MAS Laia,,05:12:57,07:37:13,+4:06:31.571
180,337,PRAT Sònia,,05:22:31,07:38:21,+4:07:39.432
181,338,MORENO Kiku,,05:22:38,07:38:24,+4:07:42.724
182,381,MARTIN Pep,,05:00:54,07:41:56,+4:11:14.474
183,647,CASIANO Sonia,,05:16:25,07:41:57,+4:11:15.332
184,457,VILA Ingrid,,05:13:45,07:42:06,+4:11:24.256
185,325,ERRA Marti,,05:12:00,07:42:06,+4:11:24.749
186,575,GUILLEN Nacho,,05:11:57,07:42:07,+4:11:25.269
187,420,RAMOS Josep,,05:16:39,07:42:23,+4:11:42.241
188,648,GALLEGO Emilio,,05:17:07,07:42:39,+4:11:57.301
189,54,REINA Lluís,,05:20:28,07:42:48,+4:12:06.633
190,1100,CROUS Judith,,05:14:40,07:42:57,+4:12:15.445
191,33,NUALART Xavier,,05:22:37,07:44:38,+4:13:56.721
192,664,CARRILLO David,,05:11:24,07:45:19,+4:14:37.628
193,229,JUVANTENY Ivan,,05:01:01,07:46:09,+4:15:27.908
194,216,PICANYOL Josep Maria,,05:01:42,07:46:50,+4:16:08.373
195,255,BIGAS Marc,,05:02:10,07:46:51,+4:16:09.931
196,215,GUIX Xevi,,05:01:53,07:46:52,+4:16:11.063
197,1061,BONET Xevi,,05:34:58,07:50:06,+4:19:24.451
198,719,ROCA Jordi,,05:12:59,07:51:27,+4:20:45.584
199,726,GUITERAS Albert,,05:12:56,07:51:28,+4:20:46.716
200,997,FRUTOS Francesc,,05:25:16,07:52:06,+4:21:24.445
201,658,PUIGDOMÈNECH Guillem,,,07:52:17,+4:21:35.702
202,48,LINARES Joan Manel,,05:12:26,07:52:55,+4:22:13.951
203,817,NIETO Agnès,,05:16:00,07:54:21,+4:23:39.801
204,572,MOLINERO Elsa,,05:17:29,07:55:50,+4:25:08.847
205,815,ANTOLIN German,,05:23:00,07:56:52,+4:26:10.484
206,723,LLOPART Nil,,05:36:10,07:57:37,+4:26:55.345
207,254,SALA Montse,,05:12:45,07:59:08,+4:28:26.488
208,704,SALAMÓ Glòria,,05:20:48,07:59:23,+4:28:41.823
209,271,CIURANETA Quima,,05:20:51,07:59:33,+4:28:51.871
210,756,SALUDAS Helena,,05:20:53,07:59:41,+4:28:59.587
211,1021,SASSANY  POU Salvador,,05:11:28,07:59:41,+4:29:00.197
212,122,ROURA Xavier,,05:19:39,07:59:44,+4:29:02.385
213,187,MARTINEZ Eduard,,05:30:54,08:00:15,+4:29:33.256
214,525,SANGLAS Sandra,,05:23:58,08:01:19,+4:30:37.639
215,524,PRATDESABA Toni,,05:24:32,08:01:57,+4:31:15.934
216,138,COSTA Arola,,05:37:12,08:02:52,+4:32:10.466
217,137,FURRIOLS Montse,,05:37:12,08:02:55,+4:32:14.121
218,962,CRUELLS Jaume,,05:41:10,08:04:03,+4:33:22.116
219,442,HERNANDEZ Miguel Angel,,05:31:25,08:04:04,+4:33:22.894
220,441,HERNANDEZ Daniel,,05:31:23,08:04:04,+4:33:22.963
221,851,PUJOL Xavier,,05:52:34,08:06:56,+4:36:14.784
222,794,MARTI Dolors,,05:34:16,08:07:32,+4:36:51.145
223,793,VAZQUEZ Toni,,05:34:25,08:07:42,+4:37:00.463
224,1015,ALONSO VILA Noemi,,05:31:04,08:08:47,+4:38:06.019
225,490,SELGA Anna,,05:34:05,08:09:17,+4:38:35.859
226,529,BAU Marta,,05:33:19,08:09:18,+4:38:36.564
227,696,ORTIZ Mariana,,05:21:21,08:09:23,+4:38:41.255
228,717,MUÑOZ Jordi,,05:21:17,08:09:24,+4:38:42.624
229,734,VIDAL Sònia,,05:21:21,08:09:24,+4:38:43.037
230,718,CUMINAL Maria,,05:22:00,08:09:59,+4:39:17.429
231,348,VINYETA Miquel,,05:29:03,08:09:59,+4:39:18.146
232,969,COROMINAS Ester,,05:36:07,08:10:01,+4:39:19.486
233,574,FAJA Olga,,05:34:04,08:10:02,+4:39:20.589
234,55,COLL Josep,,05:29:25,08:10:03,+4:39:21.484
235,667,ESCOLÀ Maria,,05:33:59,08:10:03,+4:39:22.094
236,660,ILLAMOLA Isabel,,05:50:45,08:10:12,+4:39:30.305
237,445,GENERO Roger,,05:31:42,08:10:25,+4:39:43.729
238,242,GENERO Jaume,,05:31:48,08:10:26,+4:39:44.589
239,976,MOLAS Jordi,,05:40:43,08:12:13,+4:41:31.361
240,934,MONTMANY Jordi,,05:40:27,08:12:15,+4:41:33.756
241,257,ROMERO Didac,,05:18:03,08:12:38,+4:41:57.244
242,435,ESCRIU Montse,,05:17:57,08:12:39,+4:41:57.486
243,56,MOLIST Marc,,05:41:53,08:12:57,+4:42:15.773
244,354,CODINACHS Roger,,05:18:22,08:12:58,+4:42:16.493
245,119,GARCIA Iñaki,,05:40:33,08:13:15,+4:42:33.520
246,363,ESTANY Jaume,,05:56:41,08:13:17,+4:42:36.237
247,1020,ROVIRA SANTANE Merce,,,08:13:23,+4:42:41.992
248,916,PALAU Xavi,,05:44:10,08:13:41,+4:43:00.184
249,115,RIBAS Josep,,05:35:42,08:13:44,+4:43:02.382
250,245,CLERCH Marc,,05:16:06,08:15:17,+4:44:35.439
251,246,PICH Marta,,05:16:08,08:15:19,+4:44:37.817
252,195,VILADEMUNT Pau,,05:38:04,08:16:09,+4:45:27.316
253,772,NEIRA David,,05:44:09,08:16:17,+4:45:35.466
254,773,SUBIRATS Raquel,,05:44:09,08:16:17,+4:45:36.137
255,196,VALLS Ricard Sergi,,05:38:22,08:16:23,+4:45:41.612
256,850,OLLICH Eduard,,05:55:52,08:18:11,+4:47:29.707
257,288,GUERRA Gerard,,06:00:42,08:18:22,+4:47:40.975
258,912,ALTIMIR Josep Maria,,05:23:31,08:19:13,+4:48:31.797
259,95,PINYOL Queralt,,05:41:38,08:21:36,+4:50:54.972
260,96,PIÑOL Maria Teresa,,05:41:37,08:21:39,+4:50:57.612
261,639,MACIÁ Manel,,05:38:05,08:21:48,+4:51:06.523
262,63,MARIN Xavier,,05:51:04,08:22:41,+4:51:59.806
263,293,FONT Ester,,05:15:13,08:23:10,+4:52:28.323
264,296,VALDIVIESO Judit,,05:15:16,08:23:11,+4:52:30.159
265,303,MASÓ Lluis,,05:28:11,08:23:12,+4:52:30.430
266,305,EXPOSITO Joan,,05:28:16,08:23:14,+4:52:32.602
267,991,CORTINA Ramon,,05:29:33,08:23:50,+4:53:09.094
268,465,CASTILLO Anna,,05:29:00,08:24:23,+4:53:41.711
269,542,PRAT Martí,,05:55:46,08:24:24,+4:53:42.615
270,353,BIGAS Marta,,05:52:22,08:24:25,+4:53:43.694
271,755,OMS Lídia,,05:41:16,08:24:37,+4:53:55.904
272,823,VERNET Raul,,05:51:09,08:25:41,+4:54:59.887
273,824,CANALETA Xavi,,05:51:13,08:25:42,+4:55:01.001
274,111,VILARÓ Josep Maria,,05:23:24,08:25:52,+4:55:10.743
275,477,RECIO Ana,,05:47:28,08:25:58,+4:55:17.173
276,479,MAURI Jordi,,05:47:21,08:26:00,+4:55:18.542
277,177,SERRA Gerard,,05:55:07,08:26:41,+4:56:00.088
278,178,PUJOLS Mireia,,05:55:05,08:26:42,+4:56:00.549
279,179,SERRA Xavi,,05:55:20,08:26:42,+4:56:00.888
280,695,KHAYRIZAMANOVA Irina,,05:46:24,08:27:05,+4:56:23.485
281,700,HORROCKS Karl,,05:40:01,08:27:22,+4:56:40.560
282,975,RUBIO Octavio,,05:50:34,08:27:58,+4:57:16.431
282,712,RODRIGUEZ David,,05:29:10,08:27:58,+4:57:16.431
284,706,PORTAS Laura,,05:29:09,08:27:59,+4:57:17.680
285,39,CAROL Vanessa,,05:29:19,08:29:06,+4:58:25.105
286,754,RIERA Anna,,05:41:30,08:31:20,+5:00:39.220
287,753,OMS Josep,,05:41:46,08:31:22,+5:00:40.418
288,351,SARSANEDAS Anael,,05:41:17,08:31:25,+5:00:44.030
289,224,BIETO Agusti,,05:51:15,08:32:09,+5:01:27.876
290,806,BLANCH Conrad,,05:55:17,08:32:17,+5:01:35.858
291,36,MACIA Josep Maria,,05:32:50,08:32:33,+5:01:51.466
292,106,MESAS Alberto,,05:44:49,08:33:13,+5:02:32.131
293,105,SICRES Rosanna,,05:44:51,08:33:14,+5:02:32.525
294,888,JOAQUIMA Corrochano Cañellas,,06:01:48,08:33:32,+5:02:50.542
295,743,PADRÓS Guillem,,05:58:14,08:33:45,+5:03:03.775
296,474,REIG Berta,,05:58:14,08:33:46,+5:03:04.434
297,1039,FONTBONA PUIG Maria Argimon,,05:45:48,08:34:03,+5:03:21.649
298,1005,GINEBRA COLOMER Margarita,,06:00:23,08:35:46,+5:05:04.948
299,62,BALASCH Mònica,,06:01:15,08:35:51,+5:05:09.551
300,349,ARANDA Ignasi,,06:03:16,08:35:52,+5:05:11.149
301,61,SEGALÉS Joaquim,,06:01:19,08:35:55,+5:05:13.324
302,350,GARCIA Juan,,06:03:25,08:35:57,+5:05:16.146
303,651,SANCHEZ Noelia,,05:59:42,08:36:12,+5:05:31.130
304,655,SERRA Marc,,05:59:40,08:36:16,+5:05:35.121
305,736,LÓPEZ Andreu,,05:59:53,08:36:38,+5:05:56.332
306,16,LOPEZ Jose Luis,,06:47:53,08:36:47,+5:06:05.289
307,94,RUIZ Francisco,,05:57:47,08:37:13,+5:06:31.918
308,92,RUIZ Idoia,,05:57:49,08:37:15,+5:06:33.908
309,722,PÉREZ Guillem,,06:15:55,08:37:21,+5:06:39.472
310,721,VILAMALA Gil,,06:16:01,08:37:22,+5:06:40.865
311,595,MORENO Martina,,05:50:49,08:37:33,+5:06:52.134
312,596,MORENO Josep Maria,,05:50:50,08:37:45,+5:07:04.212
313,125,FONT Josep,,,08:38:02,+5:07:21.104
314,126,FONT Xevi,,,08:38:04,+5:07:22.419
315,123,COMAS Joan,,05:55:37,08:38:10,+5:07:28.585
316,299,SERRABASA Sebastià,,05:55:42,08:38:11,+5:07:29.500
317,124,AUTONELL Arnau,,05:55:21,08:38:15,+5:07:33.704
318,221,DÍAZ Aina,,06:12:06,08:38:48,+5:08:06.740
319,220,BARNILS Laura,,06:12:20,08:38:49,+5:08:07.248
320,952,JORDÀ Ramon,,05:54:12,08:38:58,+5:08:16.281
321,606,APARICIO Martí,,05:54:18,08:38:59,+5:08:17.746
322,68,VALLDENEU Martí,,05:57:44,08:39:04,+5:08:22.325
323,67,LÓPEZ Gemma,,05:57:52,08:39:05,+5:08:23.428
324,219,COLOMINAS Marina,,06:12:43,08:39:19,+5:08:38.061
325,922,FONTS Judit,,05:58:10,08:39:22,+5:08:41.093
326,309,LORENZO Ariadna,,05:58:02,08:39:24,+5:08:42.275
327,550,CARBONELL Jaume,,,08:40:46,+5:10:04.572
328,615,ESTEBAN David Buffon,,06:10:38,08:41:50,+5:11:09.231
329,70,MASRAMON Marc,,05:59:36,08:42:26,+5:11:44.416
330,86,MARRADES Jordi,,05:59:21,08:42:26,+5:11:44.783
331,437,MONTAÑA Antoni,,05:59:26,08:42:32,+5:11:50.344
332,446,GIL Gerard,,05:55:17,08:42:37,+5:11:55.502
333,449,CODINA David,,05:55:16,08:42:37,+5:11:55.774
334,448,CAMPS Marc,,05:55:14,08:42:38,+5:11:56.977
335,919,MAC Niall,,05:55:46,08:42:56,+5:12:14.322
336,1040,CAMPS PIELLA Jordi,,06:00:04,08:43:02,+5:12:20.859
337,69,ALGILAGA Marc,,06:01:33,08:43:07,+5:12:25.545
338,496,MASFERRER Jordi,,05:57:58,08:43:08,+5:12:27.196
339,495,PELEGRÍ Jordi,,05:58:00,08:43:10,+5:12:28.312
340,1013,AGUILERA SAÑE Jordi,,06:01:43,08:43:19,+5:12:37.379
341,1051,MASSAGUÉ Quima,,05:52:21,08:43:24,+5:12:42.599
342,1050,BAUCELLS ROMEU Jordina,,05:52:20,08:43:24,+5:12:42.715
343,506,REIG Roger,,06:01:58,08:43:33,+5:12:51.305
344,302,GUERRA Manel,,05:49:31,08:44:29,+5:13:47.992
345,371,FÀBREGAS Jordi,,05:45:25,08:45:12,+5:14:30.865
346,32,DOMINGO Maite,,05:54:11,08:45:20,+5:14:38.848
347,423,VILALTA David,,05:47:20,08:45:36,+5:14:54.518
348,31,CASAS Guillem,,05:54:47,08:45:52,+5:15:10.330
349,369,DURAN Oriol,,05:46:15,08:45:57,+5:15:15.336
350,368,SAÑÉ Arnau,,05:46:16,08:45:57,+5:15:15.776
351,370,MOLIST Antoni,,05:46:17,08:45:59,+5:15:17.927
352,47,POU Josep,,06:03:16,08:46:12,+5:15:30.649
353,581,CASADEVALL  Pere,,05:50:41,08:46:49,+5:16:08.209
354,923,JOAN Juvanteny Soler,,05:51:35,08:47:32,+5:16:50.967
355,724,CASALÍ Ramon,,05:51:34,08:47:33,+5:16:52.022
356,657,ROVIRA Martí,,,08:47:38,+5:16:56.460
357,176,GUMI Ivet,,,08:47:39,+5:16:57.955
358,175,RIBA Pau,,05:43:59,08:47:39,+5:16:58.017
359,84,BULLON David,,06:06:17,08:48:14,+5:17:32.830
360,1035,SILLAURREN PIERA Mariona,,05:46:54,08:48:17,+5:17:35.283
361,838,VIDAL Eduardo,,06:03:17,08:48:21,+5:17:40.034
362,951,CATEFORIS Alexander,,05:58:11,08:49:26,+5:18:44.459
363,204,SARRIO Jordi,,06:14:11,08:49:38,+5:18:57.076
364,1018,SOLA BALLBE Toni,,06:06:30,08:50:07,+5:19:25.646
365,202,SERRA Ramon,,06:15:33,08:50:45,+5:20:03.276
366,203,CABALLE Jaume,,,08:50:45,+5:20:03.446
367,201,ARUMI Jordi,,06:15:29,08:50:46,+5:20:05.092
368,466,SANE Eloi,,04:46:01,08:51:48,+5:21:06.513
369,232,SERRA Lluís,,05:39:13,08:51:52,+5:21:11.010
370,942,JIMÉNEZ Eva,,05:59:22,08:52:24,+5:21:42.874
371,939,PUJOLS Olga,,05:59:12,08:52:25,+5:21:43.626
372,500,ANGLES  Marta,,06:14:00,08:53:41,+5:23:00.128
373,501,ANGLES  Esther,,06:14:03,08:53:46,+5:23:05.200
374,469,OSUNA Mary,,05:59:17,08:54:01,+5:23:19.887
375,982,CLARA' Josep,,05:54:56,08:54:41,+5:24:00.080
376,758,COROMINAS Elisabet,,06:08:33,08:54:49,+5:24:07.293
377,231,PONS DEL Raquel,,05:42:08,08:54:50,+5:24:09.085
378,380,OLCINA Ramon,,06:00:27,08:55:10,+5:24:28.466
379,830,BRUCH Núria,,06:10:31,08:55:12,+5:24:30.547
380,926,CARRERA Carles,,06:30:19,08:55:25,+5:24:43.444
381,927,ESCOLÀ Biel,,06:30:17,08:55:34,+5:24:53.004
382,253,VILA Gerard,,05:19:55,08:55:59,+5:25:18.076
383,260,RIERA Berta,,06:06:50,08:56:15,+5:25:33.635
384,635,RODRIGUEZ Xavi,,06:37:51,08:56:55,+5:26:14.207
385,887,AVILA Carles,,06:06:57,08:56:56,+5:26:14.779
